,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
3232981b-c812-42d0-88c0-94da7f17d776,fly_ball,medium,45.0,98.9,123.5,8,310.0,fly_ball,98.9,310.0,74.86,45.0,
62d54946-a70d-42d9-b7e4-526e779459b8,ground_ball,hard,-14.0,105.0,121.92,8,12.0,ground_ball,105.0,12.0,87.33,-14.0,
21609542-2a6d-40a2-9ab5-b1daab8e1cea,ground_ball,medium,-38.0,89.5,152.32,4,4.0,ground_ball,89.5,4.0,159.79,-38.0,
cf87ab52-f2f5-412c-b801-02324768d4ad,line_drive,medium,24.0,91.1,70.31,7,310.0,line_drive,91.1,310.0,87.49,24.0,
6ed4bb07-39eb-4e33-808a-525f5f0cde2e,bunt_grounder,medium,-19.0,34.4,117.39,5,11.0,bunt_grounder,34.4,11.0,187.51,-19.0,
8c1cb51e-43ed-404a-8582-3f8d7b3c4455,line_drive,hard,17.0,113.8,230.15,9,349.0,line_drive,113.8,349.0,62.76,17.0,
b5ae3fa5-c2bf-45d9-96e3-7c809d6c86f9,popup,medium,59.0,66.8,137.47,6,145.0,popup,66.8,145.0,144.85,59.0,
70975a98-ad55-4b7a-b5be-2f56f8f9937f,line_drive,medium,15.0,95.6,123.04,8,249.0,line_drive,95.6,249.0,81.44,15.0,
64c81f92-0b0c-4a8b-8078-bd81ada25320,ground_ball,medium,-8.0,94.3,121.41,8,16.0,ground_ball,94.3,16.0,96.96,-8.0,
a3bf416e-b929-432b-bcdb-e5e4eef9093d,fly_ball,medium,38.0,72.6,187.29,9,254.0,fly_ball,72.6,254.0,110.64,38.0,
370588d8-f08b-45b9-a4f9-a19054126068,fly_ball,medium,29.0,103.0,15.39,7,414.0,fly_ball,103.0,414.0,71.31,29.0,
5813797f-f6c0-4728-807c-04679453da8b,ground_ball,hard,-7.0,100.7,136.25,8,14.0,ground_ball,100.7,14.0,126.09,-7.0,
ced0b604-db3d-4e88-8c0a-1d84e210af16,fly_ball,medium,45.0,87.2,136.11,8,293.0,fly_ball,87.2,293.0,83.27,45.0,
d60ae150-9020-435e-98e6-dffb7a513249,ground_ball,medium,3.0,90.2,144.37,4,76.0,ground_ball,90.2,76.0,143.21,3.0,
214e22d4-b40e-4718-b5d2-93ad1ab1333a,fly_ball,medium,35.0,90.3,88.68,8,332.0,fly_ball,90.3,332.0,70.92,35.0,
c62b1429-6fc1-4ad1-9ae0-4ad38bf01f78,ground_ball,medium,-9.0,58.5,111.28,5,6.0,ground_ball,58.5,6.0,172.46,-9.0,
a94f9c82-355c-4d50-993f-63bf98443a9d,fly_ball,medium,42.0,89.1,128.53,8,305.0,fly_ball,89.1,305.0,77.07,42.0,
06e177e4-545c-4ec0-9d89-90619414276b,ground_ball,medium,-24.0,79.6,91.0,5,9.0,ground_ball,79.6,9.0,164.0,-24.0,
84a5ebdf-686c-4a22-bb5e-4f726fcb5bc9,line_drive,medium,9.0,98.5,99.57,8,171.0,line_drive,98.5,171.0,94.55,9.0,
9c1c4751-e7ed-4f06-b15f-143f39a639f3,fly_ball,medium,40.0,104.6,42.84,7,380.0,fly_ball,104.6,380.0,69.11,40.0,
3a41246a-20c9-45c6-8a2b-e15c6609b58d,fly_ball,medium,56.0,87.0,105.79,7,223.0,fly_ball,87.0,223.0,113.76,56.0,
46d0fd85-3203-400b-a6ef-5aa614d396f8,line_drive,medium,24.0,99.1,204.01,9,371.0,line_drive,99.1,371.0,78.21,24.0,
760f0390-e1e9-4354-9417-268433853c91,fly_ball,medium,50.0,87.0,181.71,9,265.0,fly_ball,87.0,265.0,107.09,50.0,
6a96f584-0bf7-48dc-926a-8db343eefad9,ground_ball,hard,-1.0,103.1,104.69,8,43.0,ground_ball,103.1,43.0,80.23,-1.0,
4ed110e4-dab3-4ce9-9cd1-f7a486bb40f5,ground_ball,hard,-4.0,102.6,60.1,7,24.0,ground_ball,102.6,24.0,114.18,-4.0,
7002b666-c98f-43af-b72c-99ff5526604a,bunt_grounder,medium,,,124.45,1,,bunt_grounder,,,192.22,,
bc21aa9f-11a0-4e65-b027-911647f92d49,ground_ball,medium,10.0,62.4,125.64,4,105.0,ground_ball,62.4,105.0,139.78,10.0,
7b181019-ae0d-448e-af14-d3604117f0fa,line_drive,medium,19.0,77.0,165.24,9,219.0,line_drive,77.0,219.0,103.75,19.0,
49fc3c6b-c7dd-4704-bcdd-ee3328c36c7c,line_drive,medium,11.0,88.4,148.65,4,152.0,line_drive,88.4,152.0,145.14,11.0,
f68b2147-a19b-4adb-92ec-7868cbd8f9c6,line_drive,medium,19.0,106.5,204.01,9,350.0,line_drive,106.5,350.0,79.73,19.0,
280cf0b4-608a-462a-92eb-5bf4a923a9ff,ground_ball,medium,-3.0,98.4,145.23,4,25.0,ground_ball,98.4,25.0,168.91,-3.0,
c7a90ea8-7fd5-4208-a40f-75a109bb23d6,ground_ball,medium,5.0,62.8,99.11,5,59.0,ground_ball,62.8,59.0,175.4,5.0,
31bd9516-7391-4a35-b139-267afa8078bc,fly_ball,medium,39.0,104.4,42.46,7,391.0,fly_ball,104.4,391.0,64.04,39.0,
6fc92d3d-a6be-474d-8043-2650481d2915,ground_ball,medium,-46.0,70.6,155.36,3,4.0,ground_ball,70.6,4.0,170.94,-46.0,
18cbe5f5-1fa7-45ed-99d9-d200939b9c78,ground_ball,hard,-10.0,109.2,108.74,6,14.0,ground_ball,109.2,14.0,154.22,-10.0,
8fd3341b-fb73-4013-abf8-6a055080a9eb,line_drive,medium,20.0,96.0,80.14,7,282.0,line_drive,96.0,282.0,107.63,20.0,
d8c467e0-041c-432c-8023-e4f221f679fb,fly_ball,medium,37.0,85.9,82.54,7,302.0,fly_ball,85.9,302.0,86.19,37.0,
3ac97206-d13a-4382-8cb6-fb5f9df6bc36,ground_ball,hard,2.0,102.6,109.25,6,55.0,ground_ball,102.6,55.0,153.71,2.0,
4e0f4bce-5d6d-4f74-907a-ed281c90c35f,ground_ball,medium,-29.0,74.0,153.69,3,7.0,ground_ball,74.0,7.0,161.5,-29.0,
1490d550-497d-4441-b05a-ebae59803305,line_drive,medium,16.0,81.5,100.43,8,204.0,line_drive,81.5,204.0,91.51,16.0,
6ac20189-c65d-4799-a162-272848c38b33,ground_ball,medium,-4.0,99.6,185.77,9,21.0,ground_ball,99.6,21.0,115.2,-4.0,
e3dd5500-3ab9-4efe-a38e-9e5007bdc954,ground_ball,medium,-11.0,87.4,149.28,4,10.0,ground_ball,87.4,10.0,156.75,-11.0,
ee5c6e8b-d42e-485d-874a-a59fb8895da4,ground_ball,medium,-13.0,99.6,84.42,5,14.0,ground_ball,99.6,14.0,107.09,-13.0,
34b56e31-8ce9-4332-bc3b-55ba10163bb3,ground_ball,medium,-12.0,88.5,112.29,6,10.0,ground_ball,88.5,10.0,153.71,-12.0,
270e23ec-ae0f-43ad-aad1-10fb51be3cad,ground_ball,medium,-10.0,66.1,140.16,4,13.0,ground_ball,66.1,13.0,159.66,-10.0,
13ad1ef7-b87c-4610-bc0a-8e36a0c2a7d2,ground_ball,medium,-21.0,81.5,155.87,3,8.0,ground_ball,81.5,8.0,165.87,-21.0,
d132f044-d9f9-435c-a3c2-59921638675a,popup,medium,72.0,83.8,123.95,6,104.0,popup,83.8,104.0,165.87,72.0,
6a8d817b-4e36-43aa-8ad3-4398b4d0966c,line_drive,hard,8.0,101.7,175.6,9,194.0,line_drive,101.7,194.0,103.47,8.0,
7d90e29c-1014-452c-85d7-99cebb78ee13,bunt_grounder,medium,11.0,41.1,141.14,4,54.0,bunt_grounder,41.1,54.0,167.72,11.0,
